func,lim,time
pr.map2,90000,2.8300000000017462
pr.for,95000,0.23500000000058208
pr.while,95000,0.260999999998603
pr.any,95000,2.212999999999738
pr.all,95000,2.338999999999942
pr.in,95000,2.4170000000012806
pr.lapply,95000,3.66899999999805
pr.map,95000,2.5200000000004366
pr.map1,95000,2.536000000000058
pr.map2,95000,3.0599999999976717
pr.for,100000,0.260999999998603
pr.while,100000,0.27999999999883585
pr.any,100000,2.5689999999995052
pr.all,100000,2.629000000000815
pr.in,100000,2.6480000000010477
pr.lapply,100000,4.01600000000326
pr.map,100000,2.900999999998021
pr.map1,100000,3.3870000000024447
pr.map2,100000,3.8549999999995634
